tract2010,county,year,povLevel,fips,zip,povTract,numCounty,pctCounty,numZip,pctZip,numTract,pctTract
27053107500,Hennepin,2017,Same as Minnesota,27053,55406,8.9,611122.9,49.9,14710.3,44.2,0,19.4
27053021200,Hennepin,2017,Lower than Minnesota,27053,55422,5.1,611122.9,49.9,14148.9,48.6,0,31.7
27053021400,Hennepin,2017,Same as Minnesota,27053,55422,14.5,611122.9,49.9,14148.9,48.6,0,25.4
27053126200,Hennepin,2017,Same as Minnesota,27053,55401,14.5,611122.9,49.9,7766.3,88.3,0,92.4
27053105100,Hennepin,2017,Lower than Minnesota,27053,55405,5.5,611122.9,49.9,7264.9,45.5,0,44.3
27053023300,Hennepin,2017,Same as Minnesota,27053,55343,7.9,611122.9,49.9,13374.4,52.5,0,57.9
27053024901,Hennepin,2017,Lower than Minnesota,27053,55423,2.8,611122.9,49.9,27235.6,75.1,0,86.6
27053021300,Hennepin,2017,Same as Minnesota,27053,55422,9.8,611122.9,49.9,14148.9,48.6,0,81.4
27053022902,Hennepin,2017,Lower than Minnesota,27053,55416,2.9,611122.9,49.9,17719.6,56.4,0,52.7
27053027504,Hennepin,2017,Lower than Minnesota,27053,55331,2.3,611122.9,49.9,4841.3,26.7,0,20.6
27053101900,Hennepin,2017,Higher than Minnesota,27053,55418,22,611122.9,49.9,14999.3,48.6,0,83.9
27053023600,Hennepin,2017,Lower than Minnesota,27053,55424,2.2,611122.9,49.9,4823.8,48.3,0,55.1
27053023801,Hennepin,2017,Lower than Minnesota,27053,55424,5.6,611122.9,49.9,4823.8,48.3,0,42.4
27053104400,Hennepin,2017,Higher than Minnesota,27053,55403,37.2,611122.9,49.9,14265.5,87.4,0,100
27053003200,Hennepin,2017,Same as Minnesota,27053,55411,6.3,611122.9,49.9,21024.9,68,0,60.8
27053104900,Hennepin,2017,Higher than Minnesota,27053,55414,72.2,611122.9,49.9,22132.2,66.6,0,74.4
27053105600,Hennepin,2017,Higher than Minnesota,27053,55403,16.5,611122.9,49.9,14265.5,87.4,0,97.8
27053005901,Hennepin,2017,Higher than Minnesota,27053,55404,46.6,611122.9,49.9,24518,87.7,0,98.1
27053106600,Hennepin,2017,Lower than Minnesota,27053,55405,5.5,611122.9,49.9,7264.9,45.5,0,80.3
27053026708,Hennepin,2017,Lower than Minnesota,27053,55369,3.3,611122.9,49.9,15547.5,43.8,0,56.8
27053108900,Hennepin,2017,Same as Minnesota,27053,55406,8.8,611122.9,49.9,14710.3,44.2,0,27.3
27053109100,Hennepin,2017,Same as Minnesota,27053,55416,10.7,611122.9,49.9,17719.6,56.4,0,30.7
27053009600,Hennepin,2017,Same as Minnesota,27053,55407,12.3,611122.9,49.9,17466.9,42.7,0,0
27053111100,Hennepin,2017,Lower than Minnesota,27053,55406,5.3,611122.9,49.9,14710.3,44.2,0,35.8
27053001700,Hennepin,2017,Higher than Minnesota,27053,55418,21.5,611122.9,49.9,14999.3,48.6,0,96.1
27053102600,Hennepin,2017,Higher than Minnesota,27053,55413,19.7,611122.9,49.9,11847.7,84.9,0,91.1
27053109900,Hennepin,2017,Lower than Minnesota,27053,55408,5.3,611122.9,49.9,18503.5,59.1,0,46.4
27053110200,Hennepin,2017,Lower than Minnesota,27053,55406,3.7,611122.9,49.9,14710.3,44.2,0,18.9
27053110800,Hennepin,2017,Lower than Minnesota,27053,55419,5.3,611122.9,49.9,15457.2,56.7,0,64.3
27053025803,Hennepin,2017,Same as Minnesota,27053,55431,10.3,611122.9,49.9,9521.9,51.9,0,66.9
27053011800,Hennepin,2017,Lower than Minnesota,27053,55417,5.4,611122.9,49.9,10307.6,39.6,0,9.3
27053106700,Hennepin,2017,Same as Minnesota,27053,55405,9.2,611122.9,49.9,7264.9,45.5,0,92.9
27053012003,Hennepin,2017,Higher than Minnesota,27053,55419,22.7,611122.9,49.9,15457.2,56.7,0,72.3
27053105700,Hennepin,2017,Higher than Minnesota,27053,55404,38.9,611122.9,49.9,24518,87.7,0,100
27053026612,Hennepin,2017,Lower than Minnesota,27053,55446,3.6,611122.9,49.9,6884,29.2,0,23.7
27053026020,Hennepin,2017,Same as Minnesota,27053,55344,12.5,611122.9,49.9,10775.5,64.3,0,67.8
27053105204,Hennepin,2017,Higher than Minnesota,27053,55403,37.6,611122.9,49.9,14265.5,87.4,0,100
27053026606,Hennepin,2017,Lower than Minnesota,27053,55447,4,611122.9,49.9,9152.7,43,0,21.5
27053026509,Hennepin,2017,Lower than Minnesota,27053,55442,2.3,611122.9,49.9,6419.3,48.9,0,42.2
27053026505,Hennepin,2017,Lower than Minnesota,27053,55441,2.7,611122.9,49.9,7774.4,41.8,0,38.9
27053021505,Hennepin,2017,Lower than Minnesota,27053,55427,5.3,611122.9,49.9,12079.7,52.9,0,64.9
27053026903,Hennepin,2017,Lower than Minnesota,27053,55316,6.5,611122.9,49.9,4476.9,18.5,0,21
27053020600,Hennepin,2017,Higher than Minnesota,27053,55430,30,611122.9,49.9,11161.7,49.2,0,61.3
27053020400,Hennepin,2017,Higher than Minnesota,27053,55429,25.3,611122.9,49.9,15363.1,54.9,0,64.1
27053026403,Hennepin,2017,Same as Minnesota,27053,55305,7.7,611122.9,49.9,10546.1,52.7,0,67.1
27053022301,Hennepin,2017,Lower than Minnesota,27053,55426,4.9,611122.9,49.9,14381.9,53.9,0,79.9
27053020301,Hennepin,2017,Same as Minnesota,27053,55429,14.1,611122.9,49.9,15363.1,54.9,0,55.3
27053011000,Hennepin,2017,Lower than Minnesota,27053,55407,4.3,611122.9,49.9,17466.9,42.7,0,30.5
27053111300,Hennepin,2017,Lower than Minnesota,27053,55410,4.2,611122.9,49.9,7906.7,39.3,0,27
27053025605,Hennepin,2017,Same as Minnesota,27053,55437,7.3,611122.9,49.9,7638.4,42.3,0,50.3
27053025603,Hennepin,2017,Same as Minnesota,27053,55431,9.3,611122.9,49.9,9521.9,51.9,0,63.6
27053026301,Hennepin,2017,Lower than Minnesota,27053,55391,5.2,611122.9,49.9,3271,20,0,30.6
27053026812,Hennepin,2017,Same as Minnesota,27053,55445,5.5,611122.9,49.9,6152.1,53.2,0,39.8
27053027300,Hennepin,2017,Lower than Minnesota,27053,55391,6.9,611122.9,49.9,3271,20,0,56.2
27053027700,Hennepin,2017,Lower than Minnesota,27053,55364,4.4,611122.9,49.9,346.2,2.3,0,5
27053020700,Hennepin,2017,Same as Minnesota,27053,55429,9.8,611122.9,49.9,15363.1,54.9,0,64.8
27053020903,Hennepin,2017,Lower than Minnesota,27053,55428,3.5,611122.9,49.9,15534.4,50.2,0,27.7
27053024006,Hennepin,2017,Lower than Minnesota,27053,55435,1.6,611122.9,49.9,11115.5,81,0,69.5
27053025302,Hennepin,2017,Same as Minnesota,27053,55420,12.5,611122.9,49.9,10327.8,45.4,0,45.9
27053024300,Hennepin,2017,Same as Minnesota,27053,55423,9.1,611122.9,49.9,27235.6,75.1,0,87.8
27053026610,Hennepin,2017,Lower than Minnesota,27053,55447,1,611122.9,49.9,9152.7,43,0,42.5
27053000601,Hennepin,2017,Same as Minnesota,27053,55418,14.1,611122.9,49.9,14999.3,48.6,0,47.5
27053980000,Hennepin,2017,Higher than Minnesota,27053,55450,22.2,611122.9,49.9,3.4,28,0,44.2
27053100400,Hennepin,2017,Higher than Minnesota,27053,55412,39.4,611122.9,49.9,10727.9,46,0,51.7
27053100500,Hennepin,2017,Higher than Minnesota,27053,55418,21.6,611122.9,49.9,14999.3,48.6,0,38.5
27053108000,Hennepin,2017,Lower than Minnesota,27053,55408,4.1,611122.9,49.9,18503.5,59.1,0,70.1
27053108600,Hennepin,2017,Higher than Minnesota,27053,55407,26.7,611122.9,49.9,17466.9,42.7,0,88.2
27053026508,Hennepin,2017,Same as Minnesota,27053,55442,7.6,611122.9,49.9,6419.3,48.9,0,68.1
27053027101,Hennepin,2017,Lower than Minnesota,27053,55340,5.6,611122.9,49.9,445.5,5.8,0,15.1
27053021800,Hennepin,2017,Lower than Minnesota,27053,55422,3.9,611122.9,49.9,14148.9,48.6,0,61.3
27053021700,Hennepin,2017,Same as Minnesota,27053,55422,8.4,611122.9,49.9,14148.9,48.6,0,30
27053104000,Hennepin,2017,Higher than Minnesota,27053,55414,41.3,611122.9,49.9,22132.2,66.6,0,52.8
27053103600,Hennepin,2017,Lower than Minnesota,27053,55413,6.6,611122.9,49.9,11847.7,84.9,0,89.8
27053023400,Hennepin,2017,Higher than Minnesota,27053,55343,20.8,611122.9,49.9,13374.4,52.5,0,49.1
27053023100,Hennepin,2017,Lower than Minnesota,27053,55416,4,611122.9,49.9,17719.6,56.4,0,13.2
27053024400,Hennepin,2017,Same as Minnesota,27053,55423,10,611122.9,49.9,27235.6,75.1,0,98.6
27053024600,Hennepin,2017,Same as Minnesota,27053,55423,7.7,611122.9,49.9,27235.6,75.1,0,70
27053020102,Hennepin,2017,Lower than Minnesota,27053,55418,3.8,611122.9,49.9,14999.3,48.6,0,44.4
27053022101,Hennepin,2017,Lower than Minnesota,27053,55426,4.6,611122.9,49.9,14381.9,53.9,0,80.7
27053126000,Hennepin,2017,Higher than Minnesota,27053,55407,47.4,611122.9,49.9,17466.9,42.7,0,92.7
27053125700,Hennepin,2017,Higher than Minnesota,27053,55411,32.3,611122.9,49.9,21024.9,68,0,52
27053021504,Hennepin,2017,Same as Minnesota,27053,55427,10,611122.9,49.9,12079.7,52.9,0,63.1
27053026908,Hennepin,2017,Lower than Minnesota,27053,55316,4.7,611122.9,49.9,4476.9,18.5,0,23.4
27053026014,Hennepin,2017,Lower than Minnesota,27053,55346,2.4,611122.9,49.9,4441.6,26.5,0,18.2
27053022802,Hennepin,2017,Same as Minnesota,27053,55416,11,611122.9,49.9,17719.6,56.4,0,91.6
