countyLong,countyLat,countyPK,countyOrder,county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
-95.26569366,47.91073227,4,62,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.91073227,794,,,
-95.26569366,47.93938065,4,63,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.93938065,795,,,
-95.25423431,47.97375488,4,64,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.97375488,796,,,
-95.21412659,48.00813293,4,65,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.21412659,48.00813293,797,,,
-95.20266724,48.02532196,4,66,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.20266724,48.02532196,798,,,
-95.56935883,48.02532196,4,67,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.56935883,48.02532196,799,,,
-95.5750885,48.1742897,4,68,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.5750885,48.1742897,800,,,
-95.5750885,48.35190964,4,69,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.5750885,48.35190964,801,,,
-95.58654785,48.3576355,4,70,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.58654785,48.3576355,802,,,
-95.58654785,48.53525543,4,71,Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.58654785,48.53525543,803,,,
-93.7702713,45.83662415,5,73,Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.83662415,1,,,
-93.7702713,45.5730629,5,74,Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.5730629,2,,,
-94.15988159,45.5730629,5,75,Benton,(C) Benton,Central (C),27009,99000,99000,-94.15988159,45.5730629,3,,,
-94.18280029,45.60171127,5,76,Benton,(C) Benton,Central (C),27009,99000,99000,-94.18280029,45.60171127,4,,,
-94.20571899,45.63608932,5,77,Benton,(C) Benton,Central (C),27009,99000,99000,-94.20571899,45.63608932,5,,,
-94.19998932,45.68765259,5,78,Benton,(C) Benton,Central (C),27009,99000,99000,-94.19998932,45.68765259,6,,,
-94.2286377,45.72776031,5,79,Benton,(C) Benton,Central (C),27009,99000,99000,-94.2286377,45.72776031,7,,,
-94.22290802,45.73922348,5,80,Benton,(C) Benton,Central (C),27009,99000,99000,-94.22290802,45.73922348,8,,,
-94.22290802,45.74494934,5,81,Benton,(C) Benton,Central (C),27009,99000,99000,-94.22290802,45.74494934,9,,,
-94.25728607,45.74494934,5,82,Benton,(C) Benton,Central (C),27009,99000,99000,-94.25728607,45.74494934,10,,,
-94.26301575,45.77359772,5,83,Benton,(C) Benton,Central (C),27009,99000,99000,-94.26301575,45.77359772,11,,,
-94.28593445,45.78505707,5,84,Benton,(C) Benton,Central (C),27009,99000,99000,-94.28593445,45.78505707,12,,,
-94.32604218,45.80797577,5,85,Benton,(C) Benton,Central (C),27009,99000,99000,-94.32604218,45.80797577,13,,,
-94.35469055,45.83662415,5,86,Benton,(C) Benton,Central (C),27009,99000,99000,-94.35469055,45.83662415,14,,,
-93.7702713,45.83662415,5,87,Benton,(C) Benton,Central (C),27009,99000,99000,-93.7702713,45.83662415,15,,,
-96.10794067,45.41836548,6,89,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.10794067,45.24074936,6,90,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.08502197,45.24647522,6,91,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.09075165,45.17772293,6,92,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
-96.1251297,45.18918228,6,93,Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600,,,,,,
