long,lat,group,order,region,subregion,mn_fips
-93.18585205,48.64411545,1,150,minnesota,NA,27000
-93.07126617,48.62692642,1,151,minnesota,NA,27000
-93.00823975,48.62692642,1,152,minnesota,NA,27000
-92.95667267,48.6326561,1,153,minnesota,NA,27000
-92.92229462,48.62119675,1,154,minnesota,NA,27000
-92.88218689,48.59828186,1,155,minnesota,NA,27000
-92.80197144,48.57536316,1,156,minnesota,NA,27000
-92.73895264,48.55817413,1,157,minnesota,NA,27000
-92.68737793,48.55817413,1,158,minnesota,NA,27000
-92.65300751,48.55817413,1,159,minnesota,NA,27000
-92.61862946,48.55817413,1,160,minnesota,NA,27000
-92.61289978,48.50660706,1,161,minnesota,NA,27000
-92.67019653,48.49514771,1,162,minnesota,NA,27000
-92.68737793,48.47795868,1,163,minnesota,NA,27000
-92.68737793,48.45504379,1,164,minnesota,NA,27000
-92.63008881,48.45504379,1,165,minnesota,NA,27000
-92.57279205,48.45504379,1,166,minnesota,NA,27000
-92.53268433,48.4493103,1,167,minnesota,NA,27000
-92.50403595,48.4493103,1,168,minnesota,NA,27000
-92.4467392,48.40920639,1,169,minnesota,NA,27000
-92.45819855,48.36909866,1,170,minnesota,NA,27000
-92.45246887,48.34045029,1,171,minnesota,NA,27000
-92.41809082,48.28888321,1,172,minnesota,NA,27000
-92.36652374,48.23158646,1,173,minnesota,NA,27000
-92.28057861,48.25450516,1,174,minnesota,NA,27000
-92.28631592,48.31753159,1,175,minnesota,NA,27000
-92.27484894,48.34045029,1,176,minnesota,NA,27000
-92.25766754,48.35190964,1,177,minnesota,NA,27000
-92.21183014,48.3576355,1,178,minnesota,NA,27000
-92.15453339,48.3576355,1,179,minnesota,NA,27000
-92.08577728,48.36336899,1,180,minnesota,NA,27000
-92.06858826,48.36336899,1,181,minnesota,NA,27000
-92.04566956,48.3576355,1,182,minnesota,NA,27000
-92.01702118,48.34045029,1,183,minnesota,NA,27000
-92.0112915,48.3347168,1,184,minnesota,NA,27000
-91.9883728,48.31753159,1,185,minnesota,NA,27000
-91.99410248,48.28315353,1,186,minnesota,NA,27000
-91.97691345,48.24877548,1,187,minnesota,NA,27000
-91.9425354,48.24304581,1,188,minnesota,NA,27000
-91.90815735,48.24304581,1,189,minnesota,NA,27000
-91.8795166,48.23731613,1,190,minnesota,NA,27000
-91.84513855,48.21439743,1,191,minnesota,NA,27000
-91.77064514,48.20293808,1,192,minnesota,NA,27000
-91.75346375,48.20867157,1,193,minnesota,NA,27000
-91.72481537,48.20293808,1,194,minnesota,NA,27000
-91.70189667,48.19147873,1,195,minnesota,NA,27000
-91.69616699,48.16856003,1,196,minnesota,NA,27000
-91.69042969,48.13418198,1,197,minnesota,NA,27000
-91.67324829,48.11699677,1,198,minnesota,NA,27000
-91.62168121,48.10553741,1,199,minnesota,NA,27000
-91.56438446,48.10553741,1,200,minnesota,NA,27000
-91.55292511,48.07115936,1,201,minnesota,NA,27000
-91.51855469,48.06542969,1,202,minnesota,NA,27000
-91.48989868,48.07115936,1,203,minnesota,NA,27000
-91.45552063,48.07688904,1,204,minnesota,NA,27000
-91.40968323,48.05970001,1,205,minnesota,NA,27000
-91.30082703,48.07688904,1,206,minnesota,NA,27000
-91.22634125,48.09980774,1,207,minnesota,NA,27000
-91.16331482,48.13991547,1,208,minnesota,NA,27000
-91.07164001,48.18575287,1,209,minnesota,NA,27000
-91.01434326,48.1972084,1,210,minnesota,NA,27000
-90.99142456,48.21439743,1,211,minnesota,NA,27000
-90.95131683,48.23731613,1,212,minnesota,NA,27000
-90.90547943,48.24877548,1,213,minnesota,NA,27000
-90.87683105,48.25450516,1,214,minnesota,NA,27000
-90.83673096,48.25450516,1,215,minnesota,NA,27000
-90.83100128,48.24304581,1,216,minnesota,NA,27000
-90.81381226,48.19147873,1,217,minnesota,NA,27000
-90.76224518,48.16856003,1,218,minnesota,NA,27000
-90.7565155,48.13991547,1,219,minnesota,NA,27000
-90.75078583,48.11699677,1,220,minnesota,NA,27000
-90.72213745,48.10553741,1,221,minnesota,NA,27000
-90.68202972,48.11126328,1,222,minnesota,NA,27000
-90.62473297,48.12272644,1,223,minnesota,NA,27000
-90.59035492,48.1284523,1,224,minnesota,NA,27000
-90.56171417,48.1284523,1,225,minnesota,NA,27000
-90.49295044,48.10553741,1,226,minnesota,NA,27000
-90.42420197,48.11126328,1,227,minnesota,NA,27000
-90.30960846,48.11699677,1,228,minnesota,NA,27000
-90.22939301,48.11126328,1,229,minnesota,NA,27000
-90.17209625,48.12272644,1,230,minnesota,NA,27000
-90.11480713,48.11699677,1,231,minnesota,NA,27000
-90.06324005,48.11126328,1,232,minnesota,NA,27000
-90.028862,48.08834457,1,233,minnesota,NA,27000
-89.99448395,48.06542969,1,234,minnesota,NA,27000
-89.96009827,48.04251099,1,235,minnesota,NA,27000
-89.91426849,48.01959229,1,236,minnesota,NA,27000
-89.84551239,47.99667358,1,237,minnesota,NA,27000
-89.78821564,48.01386261,1,238,minnesota,NA,27000
-89.75383759,48.02532196,1,239,minnesota,NA,27000
-89.68508148,48.01959229,1,240,minnesota,NA,27000
-89.55902863,48.01386261,1,241,minnesota,NA,27000
-89.47309113,48.00813293,1,242,minnesota,NA,27000
-89.587677,47.97948837,1,243,minnesota,NA,27000
-89.66217041,47.93365097,1,244,minnesota,NA,27000
-89.77102661,47.88781357,1,245,minnesota,NA,27000
-89.83978271,47.87062454,1,246,minnesota,NA,27000
-89.95437622,47.83624649,1,247,minnesota,NA,27000
-90.10334015,47.79040909,1,248,minnesota,NA,27000
-90.21220398,47.76749039,1,249,minnesota,NA,27000
-90.35544586,47.73884201,1,250,minnesota,NA,27000
-90.49295044,47.69873428,1,251,minnesota,NA,27000
-90.70494843,47.60706329,1,252,minnesota,NA,27000
-90.78516388,47.58414459,1,253,minnesota,NA,27000
-90.84246063,47.53830719,1,254,minnesota,NA,27000
-90.94558716,47.48674393,1,255,minnesota,NA,27000
-91.00288391,47.45236206,1,256,minnesota,NA,27000
-91.07164001,47.4007988,1,257,minnesota,NA,27000
-91.14039612,47.34923172,1,258,minnesota,NA,27000
-91.28936768,47.22891235,1,259,minnesota,NA,27000
-91.39822388,47.1486969,1,260,minnesota,NA,27000
-91.53573608,47.08567047,1,261,minnesota,NA,27000
-91.61595154,47.03983307,1,262,minnesota,NA,27000
-91.74200439,46.97108078,1,263,minnesota,NA,27000
-91.7878418,46.94816208,1,264,minnesota,NA,27000
-91.8336792,46.91378403,1,265,minnesota,NA,27000
-91.91388702,46.8736763,1,266,minnesota,NA,27000
-91.99983215,46.83356857,1,267,minnesota,NA,27000
-92.07431793,46.80492401,1,268,minnesota,NA,27000
-92.12588501,46.76481628,1,269,minnesota,NA,27000
-92.16026306,46.74189758,1,270,minnesota,NA,27000
-92.20037079,46.71324921,1,271,minnesota,NA,27000
-92.22328186,46.6674118,1,272,minnesota,NA,27000
-92.27484894,46.66168213,1,273,minnesota,NA,27000
-92.30349731,46.65595245,1,274,minnesota,NA,27000
-92.29204559,46.42103958,1,275,minnesota,NA,27000
-92.29204559,46.15174866,1,276,minnesota,NA,27000
-92.30349731,46.0715332,1,277,minnesota,NA,27000
-92.33215332,46.05434799,1,278,minnesota,NA,27000
-92.36079407,46.02569962,1,279,minnesota,NA,27000
-92.43527985,46.02569962,1,280,minnesota,NA,27000
-92.46392822,45.99132156,1,281,minnesota,NA,27000
-92.538414,45.97986221,1,282,minnesota,NA,27000
-92.57852173,45.95121384,1,283,minnesota,NA,27000
-92.68737793,45.91110611,1,284,minnesota,NA,27000
-92.73321533,45.8939209,1,285,minnesota,NA,27000
-92.75613403,45.86526871,1,286,minnesota,NA,27000
-92.77905273,45.84235382,1,287,minnesota,NA,27000
-92.78479004,45.78505707,1,288,minnesota,NA,27000
-92.80770111,45.75640869,1,289,minnesota,NA,27000
-92.84780884,45.73348999,1,290,minnesota,NA,27000
-92.88791656,45.70484161,1,291,minnesota,NA,27000
-92.90510559,45.64181519,1,292,minnesota,NA,27000
-92.92229462,45.61889648,1,293,minnesota,NA,27000
-92.91083527,45.58452225,1,294,minnesota,NA,27000
-92.77905273,45.56733322,1,295,minnesota,NA,27000
-92.73895264,45.52149582,1,296,minnesota,NA,27000
-92.68164825,45.45846939,1,297,minnesota,NA,27000
-92.67019653,45.42982483,1,298,minnesota,NA,27000
-92.68737793,45.40690613,1,299,minnesota,NA,27000
-92.72748566,45.37252808,1,300,minnesota,NA,27000
-92.75041199,45.33242035,1,301,minnesota,NA,27000
-92.76186371,45.2980423,1,302,minnesota,NA,27000
