county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,countyLong,countyLat,countyOrder,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.10832214,44.20369339,127,-94.10832214,44.20369339,949,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.09112549,44.18077469,128,-94.09112549,44.18077469,950,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.03382874,44.17504883,129,-94.03382874,44.17504883,951,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01664734,44.18077469,130,-94.01664734,44.18077469,952,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.00518799,44.20369339,131,-94.00518799,44.20369339,953,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01091766,44.22661209,132,-94.01091766,44.22661209,954,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.01091766,44.23807144,133,-94.01091766,44.23807144,955,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.00518799,44.25526047,134,-94.00518799,44.25526047,956,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,44.25526047,135,-93.77600098,44.25526047,957,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,44.20369339,136,-93.77600098,44.20369339,958,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-93.77600098,43.8599205,137,-93.77600098,43.8599205,959,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.26301575,43.8599205,138,-94.26301575,43.8599205,960,,,
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400,-94.37187958,43.8599205,139,-94.37187958,43.8599205,961,,,
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.79586792,44.49017334,165,-94.79586792,44.49017334,971,-94.79586792,44.49017334,521
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.8245163,44.49590302,164,-94.8245163,44.49590302,972,-94.8245163,44.49590302,520
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.85888672,44.50735855,163,-94.85888672,44.50735855,973,-94.85888672,44.50735855,519
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.8703537,44.29536819,162,-94.8703537,44.29536819,974,-94.8703537,44.29536819,518
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.11672211,44.29536819,161,-95.11672211,44.29536819,975,-95.11672211,44.29536819,517
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.11672211,44.20369339,160,-95.11672211,44.20369339,976,-95.11672211,44.20369339,516
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.09954071,44.20369339,159,-95.09954071,44.20369339,977,-95.09954071,44.20369339,515
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-95.09954071,44.12347794,158,-95.09954071,44.12347794,978,-95.09954071,44.12347794,514
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400,-94.86462402,44.11774826,157,-94.86462402,44.11774826,979,,,
